device_brand,os,screen_size,front_camera_mp,release_year
Honor,Android,14.5,5.0,2020
Honor,Android,17.3,16.0,2020
Honor,Android,16.69,8.0,2020
Honor,Android,25.5,8.0,2020
Honor,Android,15.32,8.0,2020
Honor,Android,16.23,8.0,2020
Honor,Android,13.84,5.0,2020
Honor,Android,15.77,8.0,2020
Honor,Android,15.32,16.0,2020
Honor,Android,16.23,8.0,2020
Honor,Android,15.47,8.0,2020
Honor,Android,15.32,8.0,2020
Honor,Android,16.69,16.0,2019
Honor,Android,15.32,16.0,2019
Honor,Android,14.5,5.0,2019
Honor,Android,16.23,8.0,2019
Honor,Android,15.9,32.0,2019
Honor,Android,16.74,16.0,2019
Honor,Android,14.5,5.0,2019
Honor,Android,25.43,2.0,2019
Honor,Android,20.32,8.0,2019
Others,Android,20.32,0.3,2013
HTC,Android,15.29,16.0,2019
HTC,Android,12.88,13.0,2019
HTC,Android,15.29,8.0,2019
HTC,Android,15.24,14.5,2019
HTC,Android,15.29,16.0,2019
Huawei,Android,15.37,16.0,2020
Huawei,Android,15.37,16.0,2020
Huawei,Android,15.32,16.0,2020
Huawei,Android,15.32,16.0,2020
Huawei,Android,20.32,2.0,2020
Huawei,Android,15.37,16.0,2020
Huawei,Android,25.5,8.0,2020
Huawei,Android,16.71,16.0,2020
Huawei,Android,16.23,8.0,2020
Huawei,Android,25.6,8.0,2020
Huawei,Android,16.23,8.0,2020
Huawei,Android,16.74,16.0,2019
Huawei,Android,15.34,16.0,2019
Huawei,Android,25.6,8.0,2019
Huawei,Android,15.9,32.0,2019
Huawei,Android,15.32,16.0,2019
Huawei,Android,16.23,8.0,2019
Huawei,Android,16.59,16.0,2019
Huawei,Android,16.81,16.0,2019
Huawei,Android,16.81,16.0,2019
Huawei,Android,15.9,32.0,2019
Huawei,Android,16.74,16.0,2019
Huawei,Android,25.6,8.0,2019
Huawei,Android,20.42,8.0,2019
Huawei,Android,20.42,8.0,2019
Huawei,Android,16.23,32.0,2019
Huawei,Android,16.23,32.0,2019
Huawei,Android,15.34,24.0,2019
Huawei,Android,15.34,16.0,2019
Huawei,Android,16.74,16.0,2019
Huawei,Android,10.16,2.0,2014
Huawei,Android,17.78,0.3,2013
Infinix,Android,17.32,8.0,2020
Infinix,Android,15.39,8.0,2020
Infinix,Android,15.39,8.0,2020
Infinix,Android,15.39,16.0,2019
Infinix,Android,15.29,16.0,2019
Lava,Android,14.5,5.0,2020
Lava,Android,12.7,0.3,2016
Lenovo,Android,25.43,5.0,2020
Lenovo,Android,25.43,5.0,2019
Lenovo,Android,15.47,5.0,2019
Lenovo,Android,20.32,5.0,2019
Lenovo,Android,20.32,2.0,2019
Lenovo,Android,17.78,2.0,2019
Lenovo,Android,16.23,16.0,2019
Lenovo,Android,16.23,32.0,2019
Lenovo,Android,15.32,16.0,2019
Lenovo,Android,25.43,8.0,2016
LG,Android,16.59,16.0,2020
LG,Android,15.44,13.0,2020
LG,Others,5.28,13.0,2020
LG,Android,15.44,10.0,2020
LG,Android,15.44,10.0,2020
LG,Android,15.37,13.0,2020
LG,Android,14.5,8.0,2020
LG,Android,25.43,5.0,2019
LG,Android,15.34,32.0,2019
LG,Android,15.34,16.0,2019
LG,Android,13.84,5.0,2019
LG,Android,13.84,5.0,2019
LG,Android,15.27,13.0,2019
LG,Android,15.37,13.0,2019
LG,Android,15.8,16.0,2019
LG,Android,15.9,16.0,2019
LG,Android,15.72,8.0,2019
LG,Android,15.29,5.0,2019
LG,Android,15.29,5.0,2018
LG,Android,12.83,5.0,2018
LG,Android,7.62,1.3,2014
Meizu,Android,15.39,20.0,2020
Meizu,Android,15.37,16.0,2019
Meizu,Android,15.37,8.0,2019
Meizu,Android,15.29,20.0,2019
Meizu,Android,15.29,16.0,2019
Meizu,Android,15.29,20.0,2019
Micromax,Android,10.16,0.3,2014
Micromax,Android,7.75,0.3,2014
Micromax,Android,10.03,0.3,2013
Micromax,Android,10.16,0.3,2013
Micromax,Android,7.75,0.3,2013
Motorola,Android,15.37,16.0,2020
Motorola,Android,15.42,25.0,2020
Nokia,Android,16.56,8.0,2020
Nokia,Android,13.84,5.0,2020
Nokia,Android,13.84,5.0,2020
Nokia,Others,5.18,0.0,2020
Nokia,Others,5.18,0.0,2020
Nokia,Android,17.3,24.0,2020
Nokia,Others,5.18,0.0,2020
Nokia,Others,5.18,0.0,2019
OnePlus,Android,16.64,16.0,2020
OnePlus,Android,16.64,16.0,2020
OnePlus,Android,16.94,16.0,2019
OnePlus,Android,16.94,16.0,2019
Oppo,Android,16.64,32.0,2020
Oppo,Android,16.33,32.0,2020
Oppo,Android,16.69,32.0,2020
Oppo,Android,16.64,16.0,2020
Oppo,Android,15.29,8.0,2020
Oppo,Android,15.34,32.0,2020
Oppo,Android,15.34,32.0,2019
Oppo,Android,15.37,8.0,2019
Oppo,Android,15.34,25.0,2019
Oppo,Android,15.34,32.0,2019
Oppo,Android,16.59,16.0,2019
Oppo,Android,15.39,16.0,2019
Oppo,Android,15.27,5.0,2019
Oppo,Android,15.29,8.0,2018
Oppo,Android,10.29,5.0,2015
Others,Android,16.43,20.0,2019
Realme,Android,15.37,16.0,2020
Realme,Android,15.37,16.0,2020
Realme,Android,15.37,5.0,2020
Realme,Android,15.27,5.0,2020
Realme,Android,15.27,5.0,2019
Samsung,Android,20.32,2.0,2015
Others,Android,15.34,8.0,2020
Others,Android,12.93,8.0,2019
Others,Android,16.59,16.0,2020
Others,Android,16.59,24.0,2019
Others,Android,17.78,16.0,2020
Others,Android,15.39,8.0,2020
Others,Android,15.39,16.0,2020
Others,Android,12.83,5.0,2020
Others,Android,12.7,5.0,2020
Others,Android,12.7,5.0,2020
Others,Android,15.42,16.0,2018
Vivo,Android,16.36,32.0,2020
Vivo,Android,16.59,16.0,2020
Vivo,Android,16.66,32.0,2020
Vivo,Android,16.21,16.0,2020
Vivo,Android,16.43,8.0,2020
Vivo,Android,16.69,16.0,2020
