,screen_size,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,new_price
0,14.5,13.0,5.0,64.0,3.0,3020.0,146.0,2020,127,4.307572449,Less_than_40k
1,17.3,13.0,16.0,128.0,8.0,4300.0,213.0,2020,325,5.162096647,Around_50k
2,16.69,13.0,8.0,128.0,8.0,4200.0,213.0,2020,162,5.111083765,More_than_60k
3,25.5,13.0,8.0,64.0,6.0,7250.0,480.0,2020,345,5.135386588,More_than_60k
4,15.32,13.0,8.0,64.0,3.0,5000.0,185.0,2020,293,4.389994804,Around_50k
5,16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2020,223,4.413888608,Around_50k
6,13.84,8.0,5.0,32.0,2.0,3020.0,144.0,2020,234,3.878259375,Less_than_40k
7,15.77,13.0,8.0,64.0,4.0,3400.0,164.0,2020,219,4.729421148,Around_50k
8,15.32,13.0,16.0,128.0,6.0,4000.0,165.0,2020,161,4.886054204,Around_50k
9,16.23,13.0,8.0,128.0,6.0,4000.0,176.0,2020,327,4.773223771,Around_50k
10,15.47,13.0,8.0,64.0,3.0,3020.0,150.0,2020,268,4.26703657,Less_than_40k
11,15.32,13.0,8.0,64.0,4.0,5000.0,185.0,2020,344,4.657383057,Less_than_40k
12,16.69,13.0,16.0,128.0,8.0,4100.0,206.0,2019,537,5.383255763,More_than_60k
13,15.32,13.0,16.0,64.0,4.0,4000.0,171.5,2019,336,4.617592706,Around_50k
14,14.5,13.0,5.0,32.0,2.0,3020.0,146.0,2019,230,4.111365547,Less_than_40k
15,16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2019,248,4.411221293,Around_50k
16,15.9,13.0,32.0,128.0,6.0,3750.0,172.0,2019,395,5.022366217,Around_50k
17,16.74,13.0,16.0,64.0,4.0,4000.0,206.0,2019,421,4.777020443,Around_50k
18,14.5,13.0,5.0,32.0,2.0,3020.0,146.0,2019,532,4.248638089,Around_50k
19,25.43,5.0,2.0,32.0,3.0,5100.0,173.0,2019,266,4.267877613,Around_50k
20,20.32,8.0,8.0,32.0,3.0,5100.0,173.0,2019,321,4.556295018,Around_50k
21,15.29,13.0,16.0,32.0,3.0,3850.0,170.0,2019,187,4.560800238,Around_50k
22,12.88,13.0,13.0,64.0,4.0,3075.0,150.0,2019,499,4.595624773,Around_50k
23,15.29,13.0,8.0,32.0,3.0,3300.0,160.0,2019,497,4.426521875,Around_50k
24,15.29,13.0,8.0,32.0,3.0,3300.0,160.0,2019,497,4.426521875,Less_than_40k
27,15.29,12.0,8.0,32.0,2.0,4000.0,168.0,2019,497,4.243626265,Around_50k
28,15.29,12.0,8.0,32.0,2.0,4000.0,168.0,2019,497,4.243626265,Less_than_40k
29,15.24,13.0,14.5,128.0,6.0,3930.0,180.0,2019,202,5.213467289,More_than_60k
30,15.29,13.0,16.0,64.0,4.0,3850.0,170.0,2019,493,4.636668853,More_than_60k
31,15.37,10.5,16.0,128.0,6.0,4000.0,192.0,2020,91,4.905496976,Around_50k
32,15.37,10.5,16.0,64.0,6.0,4000.0,182.0,2020,299,4.820442843,Around_50k
34,15.32,10.5,16.0,128.0,4.0,4000.0,163.0,2020,354,4.577901759,Around_50k
35,15.32,10.5,16.0,128.0,4.0,4000.0,163.0,2020,306,4.872828107,Around_50k
36,15.32,10.5,16.0,128.0,4.0,4000.0,163.0,2020,306,4.872828107,Around_50k
37,15.32,2.0,16.0,128.0,4.0,5500.0,290.0,2020,306,4.745106026,Around_50k
38,15.32,2.0,16.0,128.0,4.0,5500.0,290.0,2020,306,4.745106026,Around_50k
39,20.32,5.0,2.0,16.0,2.0,5100.0,310.0,2020,231,4.170533701,Less_than_40k
40,15.37,10.5,16.0,128.0,8.0,4000.0,189.0,2020,205,4.709440107,More_than_60k
41,15.37,10.5,16.0,128.0,8.0,4000.0,189.0,2020,205,4.709440107,Around_50k
42,15.37,5.0,13.0,32.0,3.0,4000.0,196.5,2020,205,4.232801305,More_than_60k
43,15.37,5.0,13.0,32.0,3.0,4000.0,196.5,2020,205,4.232801305,Around_50k
44,25.5,8.0,8.0,64.0,4.0,7250.0,450.0,2020,211,5.133088887,Around_50k
45,16.71,10.5,16.0,256.0,8.0,4200.0,226.0,2020,120,6.153455837,More_than_60k
46,16.23,10.5,8.0,64.0,4.0,4000.0,176.0,2020,161,4.644390899,Around_50k
47,25.6,13.0,8.0,128.0,6.0,7250.0,460.0,2020,139,5.18245748,More_than_60k
48,16.23,10.5,8.0,64.0,4.0,4000.0,176.0,2020,93,4.322143925,Around_50k
49,16.74,13.0,16.0,128.0,6.0,4000.0,206.0,2019,460,5.065439086,More_than_60k
50,16.74,13.0,16.0,128.0,6.0,4000.0,206.0,2019,460,5.065439086,Around_50k
51,16.74,13.0,16.0,128.0,8.0,4000.0,202.0,2019,460,5.030503279,More_than_60k
52,16.74,13.0,16.0,128.0,8.0,4000.0,202.0,2019,460,5.030503279,Around_50k
53,15.34,13.0,16.0,128.0,8.0,4200.0,183.0,2019,223,4.931375613,More_than_60k
54,25.6,13.0,8.0,128.0,6.0,7250.0,460.0,2019,256,4.997685135,More_than_60k
55,15.9,13.0,32.0,64.0,6.0,4000.0,178.0,2019,206,4.99653637,Around_50k
56,15.32,13.0,16.0,64.0,6.0,4000.0,163.0,2019,488,4.537426534,Around_50k
57,16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2019,516,4.705286977,Around_50k
58,16.59,13.0,16.0,512.0,12.0,4500.0,198.0,2019,289,5.674182005,More_than_60k
59,16.59,13.0,16.0,512.0,12.0,4500.0,198.0,2019,289,5.674182005,Around_50k
60,16.59,13.0,32.0,64.0,4.0,5000.0,201.0,2019,289,5.079788153,More_than_60k
61,16.59,13.0,32.0,64.0,4.0,5000.0,201.0,2019,289,5.079788153,Around_50k
62,16.81,13.0,16.0,128.0,6.0,4200.0,196.0,2019,477,5.380450196,More_than_60k
63,16.81,13.0,16.0,128.0,6.0,4200.0,196.0,2019,195,5.014826499,More_than_60k
64,15.9,13.0,32.0,128.0,6.0,4000.0,178.0,2019,244,5.143474781,More_than_60k
65,16.74,13.0,16.0,128.0,4.0,4000.0,163.5,2019,376,4.839293241,Around_50k
66,25.6,13.0,8.0,64.0,4.0,7500.0,498.0,2019,205,4.936629881,More_than_60k
67,20.42,13.0,8.0,128.0,6.0,6100.0,340.0,2019,406,5.294259143,More_than_60k
68,20.42,13.0,8.0,64.0,4.0,6100.0,320.0,2019,462,5.001190835,Around_50k
69,16.23,13.0,32.0,128.0,8.0,3500.0,171.0,2019,333,5.428204627,More_than_60k
70,16.23,13.0,32.0,128.0,8.0,3500.0,171.0,2019,284,5.378560054,More_than_60k
71,15.34,13.0,24.0,128.0,6.0,4000.0,178.0,2019,202,5.058853866,Around_50k
73,15.34,13.0,16.0,64.0,4.0,4000.0,178.0,2019,445,5.043683148,More_than_60k
74,16.74,13.0,16.0,64.0,4.0,4000.0,196.8,2019,375,4.607467545,More_than_60k
75,10.16,5.0,2.0,16.0,4.0,1700.0,136.1,2014,666,3.579343567,Less_than_40k
76,10.16,5.0,2.0,16.0,4.0,1700.0,136.1,2014,666,3.579343567,Around_50k
77,10.16,3.15,2.0,16.0,4.0,1750.0,122.0,2014,666,4.01566204,Less_than_40k
78,10.16,3.15,2.0,16.0,4.0,1750.0,122.0,2014,666,4.01566204,Around_50k
79,12.7,5.0,0.3,8.0,0.5,3000.0,147.6,2016,819,3.495598057,Less_than_40k
80,25.43,8.0,5.0,32.0,3.0,7000.0,520.0,2020,233,4.726768158,Around_50k
81,25.43,8.0,5.0,64.0,4.0,7000.0,580.0,2019,419,5.214881408,More_than_60k
82,15.47,8.0,5.0,16.0,2.0,4000.0,172.0,2019,267,3.940610462,Less_than_40k
83,20.32,13.0,5.0,16.0,2.0,5100.0,305.0,2019,461,4.779375562,Around_50k
84,20.32,5.0,2.0,16.0,2.0,5000.0,305.0,2019,423,4.463721822,Around_50k
85,17.78,2.0,2.0,32.0,1.0,3590.0,236.0,2019,528,3.896096855,Less_than_40k
86,16.23,8.0,16.0,64.0,6.0,4000.0,159.0,2019,254,4.423648309,Around_50k
87,16.23,8.0,32.0,128.0,6.0,4000.0,185.0,2019,370,5.342812606,More_than_60k
88,15.32,8.0,16.0,64.0,4.0,4050.0,164.0,2019,482,4.676839473,Around_50k
89,25.43,8.0,8.0,16.0,2.0,8400.0,655.0,2016,691,5.056182109,Around_50k
90,16.59,5.0,16.0,64.0,4.0,4000.0,196.5,2020,273,4.879082894,Around_50k
91,15.44,5.0,13.0,64.0,3.0,4000.0,219.0,2020,349,4.350148896,Around_50k
92,5.28,2.0,13.0,8.0,1.0,1470.0,127.0,2020,343,3.875566468,Around_50k
93,15.44,5.0,10.0,128.0,8.0,5000.0,218.0,2020,352,4.734442522,More_than_60k
94,15.44,5.0,10.0,128.0,8.0,5000.0,213.0,2020,142,5.476463552,More_than_60k
95,15.37,5.0,13.0,32.0,3.0,4000.0,196.5,2020,92,4.636959508,Around_50k
97,14.5,8.0,8.0,32.0,3.0,3450.0,170.0,2020,166,4.230767603,Around_50k
98,25.43,8.0,5.0,32.0,4.0,8200.0,498.0,2019,329,4.709620287,More_than_60k
99,15.34,8.0,32.0,256.0,8.0,4000.0,192.0,2019,383,5.467680322,More_than_60k
100,15.34,8.0,16.0,64.0,4.0,4000.0,198.0,2019,443,4.696928611,More_than_60k
101,13.84,8.0,5.0,16.0,2.0,3000.0,148.0,2019,257,4.255328982,Around_50k
102,13.84,8.0,5.0,16.0,1.0,3000.0,152.0,2019,380,4.08933202,Less_than_40k
103,15.27,8.0,13.0,32.0,2.0,3500.0,186.0,2019,255,4.64352514,Around_50k
104,15.37,8.0,13.0,32.0,3.0,4000.0,194.0,2019,512,4.550608398,Around_50k
105,15.8,8.0,16.0,64.0,4.0,4050.0,172.0,2019,223,4.461877016,Around_50k
106,15.9,8.0,16.0,32.0,3.0,4000.0,175.0,2019,200,4.582310892,Around_50k
107,15.72,8.0,8.0,32.0,3.0,4000.0,164.0,2019,210,4.373994463,Less_than_40k
108,15.29,13.0,5.0,32.0,3.0,3500.0,179.0,2019,216,4.517649588,Around_50k
109,15.29,16.0,5.0,64.0,4.0,3300.0,172.0,2018,724,4.887940214,More_than_60k
110,12.83,13.0,5.0,16.0,2.0,4500.0,171.0,2018,628,4.358630057,Around_50k
111,12.83,13.0,5.0,16.0,2.0,4500.0,171.0,2018,628,4.358630057,Around_50k
112,12.83,13.0,5.0,64.0,4.0,5100.0,177.0,2016,628,4.670770643,Around_50k
113,12.83,13.0,5.0,64.0,4.0,5100.0,177.0,2016,628,4.670770643,Around_50k
114,7.62,2.0,1.3,4.0,0.5,1540.0,140.45,2014,750,3.027715319,Less_than_40k
