,screen_size,4g,internal_memory_binned,front_camera_mp_binned,release_year_binned,days_used,used_price,new_price
0,14.5,yes,Moderate_memory,High_resolution,After_2015,127,Around_40k,Less_than_40k
1,17.3,yes,More_memory,High_resolution,After_2015,325,More_than_50k,Around_50k
2,16.69,yes,More_memory,High_resolution,After_2015,162,More_than_50k,More_than_60k
3,25.5,yes,Moderate_memory,High_resolution,After_2015,345,More_than_50k,More_than_60k
4,15.32,yes,Moderate_memory,High_resolution,After_2015,293,Around_40k,Around_50k
5,16.23,yes,Moderate_memory,High_resolution,After_2015,223,Around_40k,Around_50k
6,13.84,yes,Moderate_memory,High_resolution,After_2015,234,Less_than_30k,Less_than_40k
7,15.77,yes,Moderate_memory,High_resolution,After_2015,219,More_than_50k,Around_50k
8,15.32,yes,More_memory,High_resolution,After_2015,161,More_than_50k,Around_50k
9,16.23,yes,More_memory,High_resolution,After_2015,327,More_than_50k,Around_50k
10,15.47,yes,Moderate_memory,High_resolution,After_2015,268,Around_40k,Less_than_40k
11,15.32,yes,Moderate_memory,High_resolution,After_2015,344,Around_40k,Less_than_40k
12,16.69,yes,More_memory,High_resolution,After_2015,537,More_than_50k,More_than_60k
13,15.32,yes,Moderate_memory,High_resolution,After_2015,336,Around_40k,Around_50k
14,14.5,yes,Moderate_memory,High_resolution,After_2015,230,Around_40k,Less_than_40k
15,16.23,yes,Moderate_memory,High_resolution,After_2015,248,Around_40k,Around_50k
16,15.9,yes,More_memory,High_resolution,After_2015,395,More_than_50k,Around_50k
17,16.74,yes,Moderate_memory,High_resolution,After_2015,421,More_than_50k,Around_50k
18,14.5,yes,Moderate_memory,High_resolution,After_2015,532,Around_40k,Around_50k
19,25.43,yes,Moderate_memory,Low_resolution,After_2015,266,Around_40k,Around_50k
20,20.32,yes,Moderate_memory,High_resolution,After_2015,321,Around_40k,Around_50k
22,15.29,yes,Moderate_memory,High_resolution,After_2015,187,Around_40k,Around_50k
23,12.88,yes,Moderate_memory,High_resolution,After_2015,499,Around_40k,Around_50k
24,15.29,yes,Moderate_memory,High_resolution,After_2015,497,Around_40k,Around_50k
25,15.24,yes,More_memory,High_resolution,After_2015,202,More_than_50k,More_than_60k
26,15.29,yes,Moderate_memory,High_resolution,After_2015,493,Around_40k,More_than_60k
27,15.37,yes,More_memory,High_resolution,After_2015,91,More_than_50k,Around_50k
28,15.37,yes,Moderate_memory,High_resolution,After_2015,299,More_than_50k,Around_50k
29,15.32,yes,More_memory,High_resolution,After_2015,354,Around_40k,Around_50k
30,15.32,yes,More_memory,High_resolution,After_2015,306,More_than_50k,Around_50k
31,20.32,yes,Less_memory,Low_resolution,After_2015,231,Around_40k,Less_than_40k
32,15.37,yes,More_memory,High_resolution,After_2015,205,Around_40k,More_than_60k
33,25.5,yes,Moderate_memory,High_resolution,After_2015,211,More_than_50k,Around_50k
34,16.71,yes,More_memory,High_resolution,After_2015,120,More_than_50k,More_than_60k
35,16.23,yes,Moderate_memory,High_resolution,After_2015,161,Around_40k,Around_50k
36,25.6,yes,More_memory,High_resolution,After_2015,139,More_than_50k,More_than_60k
37,16.23,yes,Moderate_memory,High_resolution,After_2015,93,Around_40k,Around_50k
38,16.74,yes,More_memory,High_resolution,After_2015,460,More_than_50k,More_than_60k
39,15.34,yes,More_memory,High_resolution,After_2015,223,More_than_50k,More_than_60k
40,25.6,yes,More_memory,High_resolution,After_2015,256,More_than_50k,More_than_60k
41,15.9,yes,Moderate_memory,High_resolution,After_2015,206,More_than_50k,Around_50k
42,15.32,yes,Moderate_memory,High_resolution,After_2015,488,Around_40k,Around_50k
43,16.23,yes,Moderate_memory,High_resolution,After_2015,516,Around_40k,Around_50k
44,16.59,yes,More_memory,High_resolution,After_2015,289,More_than_50k,More_than_60k
45,16.81,yes,More_memory,High_resolution,After_2015,477,More_than_50k,More_than_60k
46,16.81,yes,More_memory,High_resolution,After_2015,195,More_than_50k,More_than_60k
47,15.9,yes,More_memory,High_resolution,After_2015,244,More_than_50k,More_than_60k
48,16.74,yes,More_memory,High_resolution,After_2015,376,More_than_50k,Around_50k
49,25.6,yes,Moderate_memory,High_resolution,After_2015,205,More_than_50k,More_than_60k
50,20.42,yes,More_memory,High_resolution,After_2015,406,More_than_50k,More_than_60k
51,20.42,yes,Moderate_memory,High_resolution,After_2015,462,More_than_50k,Around_50k
52,16.23,yes,More_memory,High_resolution,After_2015,333,More_than_50k,More_than_60k
53,16.23,yes,More_memory,High_resolution,After_2015,284,More_than_50k,More_than_60k
54,15.34,yes,More_memory,High_resolution,After_2015,202,More_than_50k,Around_50k
55,15.34,yes,Moderate_memory,High_resolution,After_2015,445,More_than_50k,More_than_60k
56,16.74,yes,Moderate_memory,High_resolution,After_2015,375,Around_40k,More_than_60k
57,10.16,no,Less_memory,Low_resolution,Before_2015,666,Less_than_30k,Less_than_40k
59,12.7,no,Less_memory,Low_resolution,After_2015,819,Less_than_30k,Less_than_40k
60,25.43,yes,Moderate_memory,High_resolution,After_2015,233,More_than_50k,Around_50k
61,25.43,no,Moderate_memory,High_resolution,After_2015,419,More_than_50k,More_than_60k
62,15.47,yes,Less_memory,High_resolution,After_2015,267,Less_than_30k,Less_than_40k
63,20.32,yes,Less_memory,High_resolution,After_2015,461,More_than_50k,Around_50k
64,20.32,yes,Less_memory,Low_resolution,After_2015,423,Around_40k,Around_50k
65,17.78,yes,Moderate_memory,Low_resolution,After_2015,528,Less_than_30k,Less_than_40k
66,16.23,yes,Moderate_memory,High_resolution,After_2015,254,Around_40k,Around_50k
67,16.23,yes,More_memory,High_resolution,After_2015,370,More_than_50k,More_than_60k
68,15.32,yes,Moderate_memory,High_resolution,After_2015,482,Around_40k,Around_50k
69,25.43,yes,Less_memory,High_resolution,After_2015,691,More_than_50k,Around_50k
70,16.59,yes,Moderate_memory,High_resolution,After_2015,273,More_than_50k,Around_50k
71,15.44,yes,Moderate_memory,High_resolution,After_2015,349,Around_40k,Around_50k
72,5.28,yes,Less_memory,High_resolution,After_2015,343,Less_than_30k,Around_50k
73,15.44,yes,More_memory,High_resolution,After_2015,352,More_than_50k,More_than_60k
74,15.44,yes,More_memory,High_resolution,After_2015,142,More_than_50k,More_than_60k
75,15.37,yes,Moderate_memory,High_resolution,After_2015,92,Around_40k,Around_50k
76,14.5,yes,Moderate_memory,High_resolution,After_2015,166,Around_40k,Around_50k
77,25.43,yes,Moderate_memory,High_resolution,After_2015,329,Around_40k,More_than_60k
78,15.34,yes,More_memory,High_resolution,After_2015,383,More_than_50k,More_than_60k
79,15.34,yes,Moderate_memory,High_resolution,After_2015,443,Around_40k,More_than_60k
80,13.84,yes,Less_memory,High_resolution,After_2015,257,Around_40k,Around_50k
81,13.84,yes,Less_memory,High_resolution,After_2015,380,Around_40k,Less_than_40k
82,15.27,yes,Moderate_memory,High_resolution,After_2015,255,Around_40k,Around_50k
83,15.37,yes,Moderate_memory,High_resolution,After_2015,512,Around_40k,Around_50k
84,15.8,yes,Moderate_memory,High_resolution,After_2015,223,Around_40k,Around_50k
85,15.9,yes,Moderate_memory,High_resolution,After_2015,200,Around_40k,Around_50k
86,15.72,yes,Moderate_memory,High_resolution,After_2015,210,Around_40k,Less_than_40k
87,15.29,yes,Moderate_memory,High_resolution,After_2015,216,Around_40k,Around_50k
88,15.29,yes,Moderate_memory,High_resolution,After_2015,724,More_than_50k,More_than_60k
89,12.83,yes,Less_memory,High_resolution,After_2015,628,Around_40k,Around_50k
90,7.62,no,Less_memory,Low_resolution,Before_2015,750,Less_than_30k,Less_than_40k
