screen_size,battery,weight,normalized_used_price
14.5,3020.0,146.0,4.307572449
17.3,4300.0,213.0,5.162096647
16.69,4200.0,213.0,5.111083765
25.5,7250.0,480.0,5.135386588
15.32,5000.0,185.0,4.389994804
16.23,4000.0,176.0,4.413888608
13.84,3020.0,144.0,3.878259375
15.77,3400.0,164.0,4.729421148
15.32,4000.0,165.0,4.886054204
16.23,4000.0,176.0,4.773223771
15.47,3020.0,150.0,4.26703657
15.32,5000.0,185.0,4.657383057
16.69,4100.0,206.0,5.383255763
15.32,4000.0,171.5,4.617592706
14.5,3020.0,146.0,4.111365547
16.23,4000.0,176.0,4.411221293
15.9,3750.0,172.0,5.022366217
16.74,4000.0,206.0,4.777020443
14.5,3020.0,146.0,4.248638089
25.43,5100.0,173.0,4.267877613
20.32,5100.0,173.0,4.556295018
15.29,3850.0,170.0,4.560800238
12.88,3075.0,150.0,4.595624773
15.29,3300.0,160.0,4.426521875
15.29,3300.0,160.0,4.426521875
15.29,4000.0,168.0,4.243626265
15.29,4000.0,168.0,4.243626265
15.24,3930.0,180.0,5.213467289
15.29,3850.0,170.0,4.636668853
15.37,4000.0,192.0,4.905496976
15.37,4000.0,182.0,4.820442843
15.32,4000.0,163.0,4.577901759
15.32,4000.0,163.0,4.872828107
15.32,4000.0,163.0,4.872828107
15.32,5500.0,290.0,4.745106026
15.32,5500.0,290.0,4.745106026
20.32,5100.0,310.0,4.170533701
15.37,4000.0,189.0,4.709440107
15.37,4000.0,189.0,4.709440107
15.37,4000.0,196.5,4.232801305
15.37,4000.0,196.5,4.232801305
25.5,7250.0,450.0,5.133088887
16.71,4200.0,226.0,6.153455837
16.23,4000.0,176.0,4.644390899
25.6,7250.0,460.0,5.18245748
16.23,4000.0,176.0,4.322143925
16.74,4000.0,206.0,5.065439086
16.74,4000.0,206.0,5.065439086
16.74,4000.0,202.0,5.030503279
16.74,4000.0,202.0,5.030503279
15.34,4200.0,183.0,4.931375613
25.6,7250.0,460.0,4.997685135
15.9,4000.0,178.0,4.99653637
15.32,4000.0,163.0,4.537426534
16.23,4000.0,176.0,4.705286977
16.59,4500.0,198.0,5.674182005
16.59,4500.0,198.0,5.674182005
16.59,5000.0,201.0,5.079788153
16.59,5000.0,201.0,5.079788153
16.81,4200.0,196.0,5.380450196
16.81,4200.0,196.0,5.014826499
15.9,4000.0,178.0,5.143474781
16.74,4000.0,163.5,4.839293241
25.6,7500.0,498.0,4.936629881
20.42,6100.0,340.0,5.294259143
20.42,6100.0,320.0,5.001190835
16.23,3500.0,171.0,5.428204627
16.23,3500.0,171.0,5.378560054
15.34,4000.0,178.0,5.058853866
15.34,4000.0,178.0,5.043683148
16.74,4000.0,196.8,4.607467545
10.16,1700.0,136.1,3.579343567
10.16,1700.0,136.1,3.579343567
10.16,1750.0,122.0,4.01566204
10.16,1750.0,122.0,4.01566204
12.7,3000.0,147.6,3.495598057
25.43,7000.0,520.0,4.726768158
25.43,7000.0,580.0,5.214881408
15.47,4000.0,172.0,3.940610462
20.32,5100.0,305.0,4.779375562
20.32,5000.0,305.0,4.463721822
17.78,3590.0,236.0,3.896096855
16.23,4000.0,159.0,4.423648309
16.23,4000.0,185.0,5.342812606
15.32,4050.0,164.0,4.676839473
25.43,8400.0,655.0,5.056182109
16.59,4000.0,196.5,4.879082894
15.44,4000.0,219.0,4.350148896
5.28,1470.0,127.0,3.875566468
15.44,5000.0,218.0,4.734442522
15.44,5000.0,213.0,5.476463552
15.37,4000.0,196.5,4.636959508
14.5,3450.0,170.0,4.230767603
25.43,8200.0,498.0,4.709620287
15.34,4000.0,192.0,5.467680322
15.34,4000.0,198.0,4.696928611
13.84,3000.0,148.0,4.255328982
13.84,3000.0,152.0,4.08933202
15.27,3500.0,186.0,4.64352514
15.37,4000.0,194.0,4.550608398
15.8,4050.0,172.0,4.461877016
15.9,4000.0,175.0,4.582310892
15.72,4000.0,164.0,4.373994463
15.29,3500.0,179.0,4.517649588
15.29,3300.0,172.0,4.887940214
12.83,4500.0,171.0,4.358630057
12.83,4500.0,171.0,4.358630057
12.83,5100.0,177.0,4.670770643
12.83,5100.0,177.0,4.670770643
7.62,1540.0,140.45,3.027715319
10.16,1500.0,146.5,3.043569603
7.75,1500.0,89.0,2.386926241
16.56,4000.0,200.0,4.186011751
13.84,3000.0,180.0,3.616308761
13.84,3000.0,180.0,4.055430469
17.3,4500.0,220.0,5.314043067
15.34,4025.0,181.0,4.868380247
15.37,4230.0,180.0,4.57037168
15.34,3600.0,169.5,4.936199063
15.34,4035.0,186.0,4.94178527
16.59,4020.0,190.0,4.656718448
15.39,4065.0,215.0,5.295613715
15.27,4000.0,170.0,4.322011202
15.29,4230.0,168.0,4.457713717
10.29,2000.0,135.0,4.02463715
16.43,4000.0,171.0,5.570212986
20.32,4200.0,313.0,4.32611744
15.34,3130.0,141.0,4.915665057
12.93,3090.0,173.0,4.180522258
16.59,4500.0,210.0,5.020849617
16.59,3820.0,192.0,5.036303041
17.78,6000.0,220.0,4.378896742
15.39,5000.0,206.5,4.084294226
15.39,4000.0,203.0,4.919469846
12.83,2700.0,153.0,3.629394807
12.7,4000.0,234.0,3.974809994
12.7,4000.0,234.0,4.29374172
15.42,5000.0,159.0,5.175471537
16.36,4350.0,196.5,5.288014474
16.21,4500.0,198.5,4.770599875
16.59,5000.0,193.0,5.064302435
16.21,4500.0,186.7,5.104732617
16.13,5000.0,191.5,4.417755682
16.21,4500.0,198.5,4.601664047
16.13,5000.0,190.0,4.59360355
16.13,5000.0,190.5,4.907346705
17.5,4500.0,218.5,4.94071342
17.5,4500.0,217.3,5.278471738
16.28,4500.0,217.0,4.911109575
16.28,4500.0,215.0,5.144350003
15.8,4030.0,163.5,3.966132331
16.21,4500.0,179.0,5.206859756
16.21,4500.0,198.5,4.735671994
16.59,5000.0,204.1,4.956108708
16.23,3700.0,185.0,4.755829062
15.9,3260.0,150.0,4.614625345
15.9,3260.0,150.0,4.614625345
